Accession,Description,GeneName,Peptides.DMSO,PSMs.DMSO,AAs.DMSO,MW.kDA.DMSO,pI.DMSO,QuantifyingPSMs.DMSO,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
Q9NUP9,Protein lin-7 homolog C OS=Homo sapiens GN=LIN7C PE=1 SV=1,LIN7C,6,15,197,21.82,8.43,5,0.993,1.047,0.960,0.854,0.720,0.524,0.348,0.203,0.155,0.109
Q9NUQ3,Gamma-taxilin OS=Homo sapiens GN=TXLNG PE=1 SV=2,TXLNG,22,86,528,60.548,7.52,24,0.993,0.946,0.960,0.882,0.751,0.511,0.184,0.110,0.076,0.065
Q9NUQ8,ATP-binding cassette sub-family F member 3 OS=Homo sapiens GN=ABCF3 PE=1 SV=2,ABCF3,12,23,709,79.695,6.34,9,0.993,0.986,0.651,0.401,0.281,0.245,0.107,0.077,0.065,0.069
Q9NUQ9,Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1,FAM49B,21,122,324,36.725,6.06,49,0.993,0.984,0.946,0.870,0.797,0.577,0.320,0.120,0.084,0.079
Q9NUU7,ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1,DDX19A,25,123,478,53.941,6.58,32,0.993,0.965,0.926,0.759,0.453,0.248,0.165,0.113,0.075,0.068
Q9NUY8,TBC1 domain family member 23 OS=Homo sapiens GN=TBC1D23 PE=1 SV=3,TBC1D23,10,22,699,78.272,5.41,7,0.993,1.037,0.940,0.763,0.491,0.267,0.174,0.107,0.096,0.076
Q9NV35,Probable 8-oxo-dGTP diphosphatase NUDT15 OS=Homo sapiens GN=NUDT15 PE=1 SV=1,NUDT15,4,12,164,18.597,6.14,6,0.993,0.940,0.967,0.868,0.745,0.488,0.290,0.154,0.134,0.095
Q9NV56,MRG/MORF4L-binding protein OS=Homo sapiens GN=MRGBP PE=1 SV=1,MRGBP,8,19,204,22.403,5.83,11,0.993,0.965,0.958,0.804,0.639,0.361,0.223,0.125,0.098,0.084
Q9NV70,Exocyst complex component 1 OS=Homo sapiens GN=EXOC1 PE=1 SV=4,EXOC1,15,32,894,101.917,6.61,13,0.993,0.959,0.882,0.607,0.363,0.229,0.177,0.116,0.095,0.069
Q9NV88,Integrator complex subunit 9 OS=Homo sapiens GN=INTS9 PE=1 SV=2,INTS9,13,31,658,73.767,6.33,12,0.993,0.940,0.917,0.723,0.612,0.390,0.260,0.134,0.085,0.058
Q9NVA1,Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog OS=Homo sapiens GN=UQCC PE=1 SV=3,UQCC,3,6,299,34.578,8.91,3,0.993,0.943,0.911,0.824,0.753,0.522,0.416,0.272,0.196,0.201
Q9NVA2,Isoform 2 of Septin-11 OS=Homo sapiens GN=SEPT11,SEPT11,19,126,439,50.791,7.01,16,0.993,0.973,0.997,0.945,0.924,0.701,0.575,0.348,0.264,0.160
Q9NVC6,Mediator of RNA polymerase II transcription subunit 17 OS=Homo sapiens GN=MED17 PE=1 SV=2,MED17,5,10,651,72.845,7.44,5,0.993,0.956,0.827,0.627,0.375,0.195,0.152,0.076,0.063,0.056
Q9NVE7,Pantothenate kinase 4 OS=Homo sapiens GN=PANK4 PE=1 SV=1,PANK4,12,32,773,85.937,6.28,11,0.993,0.905,0.915,0.832,0.602,0.316,0.199,0.145,0.140,0.115
Q9NVG8,TBC1 domain family member 13 OS=Homo sapiens GN=TBC1D13 PE=1 SV=3,TBC1D13,17,40,400,46.524,5.24,12,0.993,0.988,0.938,0.892,0.736,0.550,0.335,0.194,0.116,0.086
Q9NVH2,Integrator complex subunit 7 OS=Homo sapiens GN=INTS7 PE=1 SV=1,INTS7,4,8,962,106.766,8.02,3,0.993,0.967,0.773,0.440,0.314,0.126,0.060,0.074,0.022,0.038
Q9NVH6,"Isoform 8 of Trimethyllysine dioxygenase, mitochondrial OS=Homo sapiens GN=TMLHE",TMLHE,2,4,432,50.8,7.87,2,0.993,1.067,0.955,0.913,0.880,0.708,0.619,0.419,0.267,0.154
Q9NVI1,Fanconi anemia group I protein OS=Homo sapiens GN=FANCI PE=1 SV=4,FANCI,25,56,1328,149.229,6.74,24,0.993,0.952,0.775,0.442,0.293,0.176,0.116,0.072,0.057,0.049
Q9NVI7,ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A PE=1 SV=2,ATAD3A,6,16,634,71.325,8.98,7,0.993,1.024,0.869,0.845,0.800,0.680,0.444,0.379,0.258,0.198
Q9NVJ2,ADP-ribosylation factor-like protein 8B OS=Homo sapiens GN=ARL8B PE=1 SV=1,ARL8B,5,16,186,21.525,8.43,2,0.993,1.194,1.098,1.020,0.813,0.691,0.499,0.360,0.306,0.228
Q9NVM4,Protein arginine N-methyltransferase 7 OS=Homo sapiens GN=PRMT7 PE=1 SV=1,PRMT7,2,4,692,78.409,5.57,1,0.993,0.922,0.815,0.749,0.434,0.280,0.198,0.145,0.165,0.073
Q9NVM6,DnaJ homolog subfamily C member 17 OS=Homo sapiens GN=DNAJC17 PE=1 SV=1,DNAJC17,2,8,304,34.666,8.53,4,0.993,0.932,0.951,0.864,0.610,0.286,0.087,0.088,0.038,0.052
Q9NVM9,Protein asunder homolog OS=Homo sapiens GN=ASUN PE=1 SV=2,ASUN,12,30,706,80.174,6.7,9,0.993,0.983,0.885,0.725,0.454,0.305,0.174,0.142,0.091,0.060
Q9NVP1,ATP-dependent RNA helicase DDX18 OS=Homo sapiens GN=DDX18 PE=1 SV=2,DDX18,2,4,670,75.359,9.5,2,0.993,1.079,1.018,0.947,0.611,0.399,0.204,0.210,0.140,0.105
Q9NVP2,Histone chaperone ASF1B OS=Homo sapiens GN=ASF1B PE=1 SV=1,ASF1B,5,10,202,22.419,4.56,3,0.993,0.905,0.939,0.794,0.584,0.431,0.294,0.206,0.141,0.096
Q9NVR2,Integrator complex subunit 10 OS=Homo sapiens GN=INTS10 PE=1 SV=2,INTS10,1,2,710,82.183,7.44,1,0.993,1.146,0.963,0.832,0.540,0.427,0.301,0.362,0.359,0.227
Q9NVR5,Protein kintoun OS=Homo sapiens GN=DNAAF2 PE=1 SV=2,DNAAF2,5,12,837,91.058,5.2,6,0.993,1.009,0.931,0.827,0.660,0.474,0.270,0.150,0.100,0.085
Q9NVS2,"Isoform 2 of 28S ribosomal protein S18a, mitochondrial OS=Homo sapiens GN=MRPS18A",MRPS18A,5,10,270,30.52,10.64,2,0.993,1.078,1.030,0.812,0.540,0.380,0.224,0.202,0.166,0.125
Q9NVS9,Pyridoxine-5'-phosphate oxidase OS=Homo sapiens GN=PNPO PE=1 SV=1,PNPO,8,28,261,29.969,7.06,5,0.993,0.978,0.986,0.982,0.815,0.622,0.511,0.371,0.268,0.188
Q9NVT9,Armadillo repeat-containing protein 1 OS=Homo sapiens GN=ARMC1 PE=1 SV=1,ARMC1,2,4,282,31.261,5.74,2,0.993,0.980,0.982,0.843,0.622,0.418,0.403,0.315,0.250,0.290
Q9NVU0,DNA-directed RNA polymerase III subunit RPC5 OS=Homo sapiens GN=POLR3E PE=1 SV=1,POLR3E,3,6,708,79.847,6.47,3,0.993,0.953,0.820,0.479,0.265,0.147,0.071,0.025,0.032,0.046
Q9NVU7,Protein SDA1 homolog OS=Homo sapiens GN=SDAD1 PE=1 SV=3,SDAD1,1,2,687,79.82,9.25,1,0.993,1.025,0.989,0.649,0.590,0.245,0.115,0.086,0.038,0.040
Q9NVV4,"Isoform 2 of Poly(A) RNA polymerase, mitochondrial OS=Homo sapiens GN=MTPAP",MTPAP,2,4,712,78.784,8.28,2,0.993,0.986,0.968,0.681,0.187,0.057,0.010,0.008,0.013,0.019
Q9NVX0,HAUS augmin-like complex subunit 2 OS=Homo sapiens GN=HAUS2 PE=1 SV=1,HAUS2,1,2,235,26.916,7.88,1,0.993,0.925,0.742,0.576,0.374,0.239,0.214,0.152,0.101,0.112
Q9NVX2,Notchless protein homolog 1 OS=Homo sapiens GN=NLE1 PE=1 SV=4,NLE1,17,52,485,53.287,7.34,23,0.993,0.993,0.898,0.803,0.724,0.528,0.431,0.325,0.220,0.157
Q9NVZ3,Adaptin ear-binding coat-associated protein 2 OS=Homo sapiens GN=NECAP2 PE=1 SV=1,NECAP2,9,21,263,28.321,8.38,9,0.993,1.006,0.984,0.881,0.745,0.515,0.303,0.211,0.125,0.096
Q9NW08,DNA-directed RNA polymerase III subunit RPC2 OS=Homo sapiens GN=POLR3B PE=1 SV=2,POLR3B,9,18,1133,127.702,8.5,9,0.993,0.975,0.842,0.510,0.291,0.247,0.105,0.092,0.074,0.065
Q9NW13,RNA-binding protein 28 OS=Homo sapiens GN=RBM28 PE=1 SV=3,RBM28,3,6,759,85.685,9.22,3,0.993,0.934,0.696,0.432,0.316,0.185,0.147,0.093,0.079,0.073
Q9NW64,Pre-mRNA-splicing factor RBM22 OS=Homo sapiens GN=RBM22 PE=1 SV=1,RBM22,9,22,420,46.865,8.54,11,0.993,1.039,1.071,0.875,0.540,0.266,0.129,0.079,0.045,0.042
Q9NW68,BSD domain-containing protein 1 OS=Homo sapiens GN=BSDC1 PE=2 SV=1,BSDC1,9,28,430,47.134,4.49,14,0.993,1.068,0.988,0.916,0.750,0.630,0.400,0.341,0.206,0.153
Q9NW75,G patch domain-containing protein 2 OS=Homo sapiens GN=GPATCH2 PE=1 SV=1,GPATCH2,2,4,528,58.907,9.09,2,0.993,1.035,0.858,0.740,0.498,0.371,0.222,0.139,0.113,0.087
Q9NW82,WD repeat-containing protein 70 OS=Homo sapiens GN=WDR70 PE=1 SV=1,WDR70,17,51,654,73.155,6.33,22,0.993,1.041,0.960,0.871,0.752,0.542,0.329,0.164,0.114,0.086
Q9NWH9,SAFB-like transcription modulator OS=Homo sapiens GN=SLTM PE=1 SV=2,SLTM,14,27,1034,117.079,7.87,10,0.993,1.066,1.033,0.975,0.830,0.664,0.509,0.352,0.274,0.197
Q9NWK9,Box C/D snoRNA protein 1 OS=Homo sapiens GN=ZNHIT6 PE=1 SV=1,ZNHIT6,11,20,470,53.884,5.8,9,0.993,0.864,0.589,0.413,0.337,0.216,0.155,0.122,0.094,0.093
Q9NWS0,PIH1 domain-containing protein 1 OS=Homo sapiens GN=PIH1D1 PE=1 SV=1,PIH1D1,8,16,290,32.342,5.14,7,0.993,1.017,0.913,0.699,0.469,0.365,0.224,0.125,0.082,0.074
Q9NWT6,Hypoxia-inducible factor 1-alpha inhibitor OS=Homo sapiens GN=HIF1AN PE=1 SV=2,HIF1AN,2,4,349,40.26,5.57,2,0.993,1.081,0.882,0.817,0.578,0.438,0.299,0.203,0.212,0.111
Q9NWT8,Aurora kinase A-interacting protein OS=Homo sapiens GN=AURKAIP1 PE=1 SV=1,AURKAIP1,2,4,199,22.34,10.76,2,0.993,0.951,0.910,0.764,0.533,0.316,0.123,0.068,0.042,0.040
Q9NWU1,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial OS=Homo sapiens GN=OXSM PE=1 SV=1",OXSM,6,20,459,48.812,7.66,10,0.993,0.982,0.910,0.910,0.908,0.699,0.742,0.633,0.557,0.486
Q9NWU2,Glucose-induced degradation protein 8 homolog OS=Homo sapiens GN=GID8 PE=1 SV=1,GID8,8,39,228,26.732,4.97,12,0.993,1.052,0.917,0.824,0.589,0.416,0.228,0.170,0.111,0.096
Q9NWV4,UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=1 SV=1,C1orf123,11,61,160,18.037,5.01,17,0.993,0.975,0.988,0.895,0.813,0.519,0.287,0.145,0.103,0.067
Q9NWX6,Probable tRNA(His) guanylyltransferase OS=Homo sapiens GN=THG1L PE=1 SV=2,THG1L,7,22,298,34.808,8,10,0.993,0.929,0.955,0.932,0.797,0.576,0.424,0.247,0.096,0.059
Q9NWY4,UPF0609 protein C4orf27 OS=Homo sapiens GN=C4orf27 PE=1 SV=2,C4orf27,9,18,346,39.411,6.8,8,0.993,0.895,0.609,0.420,0.314,0.203,0.139,0.101,0.081,0.061
Q9NWZ3,Interleukin-1 receptor-associated kinase 4 OS=Homo sapiens GN=IRAK4 PE=1 SV=1,IRAK4,2,6,460,51.497,5.41,3,0.993,0.941,0.787,0.497,0.253,0.160,0.081,0.054,0.041,0.042
Q9NWZ8,Gem-associated protein 8 OS=Homo sapiens GN=GEMIN8 PE=1 SV=1,GEMIN8,1,4,242,28.619,6.8,1,0.993,1.047,0.908,0.593,0.391,0.274,0.119,0.151,0.127,0.111
Q9NX02,"NACHT, LRR and PYD domains-containing protein 2 OS=Homo sapiens GN=NLRP2 PE=1 SV=1",NLRP2,26,70,1062,120.437,6.07,26,0.993,0.959,0.833,0.573,0.378,0.239,0.138,0.096,0.087,0.088
Q9NX04,Uncharacterized protein C1orf109 OS=Homo sapiens GN=C1orf109 PE=2 SV=1,C1orf109,2,3,203,23.358,5.67,1,0.993,1.037,1.071,0.993,0.914,0.643,0.529,0.310,0.164,0.123
Q9NX07,tRNA selenocysteine 1-associated protein 1 OS=Homo sapiens GN=TRNAU1AP PE=1 SV=1,TRNAU1AP,1,2,287,32.477,4.74,1,0.993,0.914,0.719,0.566,0.429,0.287,0.126,0.068,0.047,0.047
Q9NX08,COMM domain-containing protein 8 OS=Homo sapiens GN=COMMD8 PE=1 SV=1,COMMD8,3,6,183,21.077,5.43,2,0.993,1.095,0.976,0.748,0.528,0.648,0.198,0.156,0.054,0.048
Q9NX18,"Succinate dehydrogenase assembly factor 2, mitochondrial OS=Homo sapiens GN=SDHAF2 PE=1 SV=1",SDHAF2,1,2,166,19.587,6.8,1,0.993,1.080,0.931,0.818,0.788,0.700,0.544,0.419,0.310,0.247
Q9NX24,H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens GN=NHP2 PE=1 SV=1,NHP2,8,19,153,17.19,8.22,8,0.993,0.990,0.891,0.778,0.612,0.420,0.307,0.261,0.231,0.289
Q9NX40,OCIA domain-containing protein 1 OS=Homo sapiens GN=OCIAD1 PE=1 SV=1,OCIAD1,4,10,245,27.609,7.49,4,0.993,1.022,1.029,1.004,0.903,0.707,0.626,0.550,0.378,0.225
Q9NX46,Poly(ADP-ribose) glycohydrolase ARH3 OS=Homo sapiens GN=ADPRHL2 PE=1 SV=1,ADPRHL2,14,62,363,38.922,5.07,14,0.993,1.022,0.967,0.913,0.680,0.435,0.246,0.156,0.116,0.089
Q9NX55,Huntingtin-interacting protein K OS=Homo sapiens GN=HYPK PE=1 SV=2,HYPK,8,66,129,14.656,4.93,19,0.993,1.054,0.980,0.970,0.857,0.729,0.582,0.430,0.365,0.331
Q9NX58,Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2,LYAR,12,40,379,43.588,9.54,17,0.993,1.030,1.068,1.197,0.998,0.586,0.287,0.141,0.071,0.058
Q9NX70,Mediator of RNA polymerase II transcription subunit 29 OS=Homo sapiens GN=MED29 PE=1 SV=1,MED29,2,4,200,21.06,6.29,2,0.993,0.976,0.863,0.714,0.423,0.304,0.203,0.140,0.113,0.099
Q9NXA8,"NAD-dependent protein deacylase sirtuin-5, mitochondrial OS=Homo sapiens GN=SIRT5 PE=1 SV=2",SIRT5,5,18,310,33.859,8.47,7,0.993,0.950,0.949,0.767,0.455,0.235,0.101,0.075,0.049,0.061
Q9NXC5,WD repeat-containing protein mio OS=Homo sapiens GN=MIOS PE=1 SV=2,MIOS,1,2,875,98.521,6.73,1,0.993,0.936,0.966,0.699,0.769,0.603,0.533,0.484,0.279,0.240
Q9NXF1,Testis-expressed sequence 10 protein OS=Homo sapiens GN=TEX10 PE=1 SV=2,TEX10,3,6,929,105.608,9.36,3,0.993,1.033,0.793,0.737,0.601,0.451,0.265,0.192,0.113,0.077
Q9NXF7,DDB1- and CUL4-associated factor 16 OS=Homo sapiens GN=DCAF16 PE=1 SV=1,DCAF16,1,2,216,24.178,6.04,1,0.993,0.990,0.990,0.908,0.661,0.400,0.198,0.070,0.055,0.033
Q9NXG0,Centlein OS=Homo sapiens GN=CNTLN PE=2 SV=5,CNTLN,1,2,1405,161.504,8.15,1,0.993,1.010,0.967,0.953,0.612,0.392,0.237,0.106,0.076,0.068
Q9NXG2,THUMP domain-containing protein 1 OS=Homo sapiens GN=THUMPD1 PE=1 SV=2,THUMPD1,22,126,353,39.291,7.88,52,0.993,0.979,0.977,0.947,0.870,0.646,0.564,0.324,0.144,0.098
Q9NXH9,tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens GN=TRMT1 PE=1 SV=1,TRMT1,22,75,659,72.188,7.64,27,0.993,0.991,0.925,0.834,0.750,0.595,0.479,0.366,0.244,0.103
Q9NXK8,F-box/LRR-repeat protein 12 OS=Homo sapiens GN=FBXL12 PE=1 SV=1,FBXL12,2,4,326,37.002,8.79,2,0.993,0.977,0.927,0.761,0.571,0.435,0.226,0.218,0.212,0.096
Q9NXR1,Nuclear distribution protein nudE homolog 1 OS=Homo sapiens GN=NDE1 PE=1 SV=2,NDE1,3,6,346,38.785,5.27,3,0.993,1.123,0.953,0.907,0.694,0.534,0.411,0.348,0.300,0.268
Q9NXR7,BRCA1-A complex subunit BRE OS=Homo sapiens GN=BRE PE=1 SV=2,BRE,9,17,383,43.524,5.81,7,0.993,1.022,0.867,0.790,0.654,0.562,0.429,0.352,0.222,0.113
Q9NXV6,CDKN2A-interacting protein OS=Homo sapiens GN=CDKN2AIP PE=1 SV=3,CDKN2AIP,26,65,580,61.088,9.01,29,0.993,1.003,0.881,0.730,0.521,0.275,0.144,0.092,0.050,0.041
Q9NXW9,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 OS=Homo sapiens GN=ALKBH4 PE=1 SV=1,ALKBH4,1,2,302,33.816,6.67,1,0.993,1.119,0.896,0.785,0.485,0.411,0.230,0.197,0.118,0.138
Q9NY12,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens GN=GAR1 PE=1 SV=1,GAR1,1,4,217,22.334,10.92,2,0.993,1.050,0.913,0.759,0.514,0.314,0.193,0.140,0.108,0.076
Q9NY27,Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Homo sapiens GN=PPP4R2 PE=1 SV=3,PPP4R2,15,62,417,46.869,4.54,25,0.993,0.976,0.956,0.817,0.579,0.351,0.188,0.105,0.074,0.082
Q9NY93,Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens GN=DDX56 PE=1 SV=1,DDX56,8,16,547,61.551,9.26,7,0.993,1.048,1.055,1.070,0.784,0.455,0.205,0.153,0.087,0.076
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens GN=TERF2IP PE=1 SV=1,TERF2IP,11,21,399,44.233,4.73,9,0.993,0.965,0.923,0.775,0.543,0.372,0.196,0.146,0.123,0.111
Q9NYF8,Bcl-2-associated transcription factor 1 OS=Homo sapiens GN=BCLAF1 PE=1 SV=2,BCLAF1,10,20,920,106.059,9.98,6,0.993,1.053,0.845,0.826,0.632,0.401,0.357,0.250,0.213,0.137
Q9NYG5,Anaphase-promoting complex subunit 11 OS=Homo sapiens GN=ANAPC11 PE=1 SV=1,ANAPC11,1,2,84,9.833,7.77,1,0.993,1.032,0.954,0.846,0.610,0.342,0.254,0.191,0.128,0.127
Q9NYJ1,"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial OS=Homo sapiens GN=COA4 PE=1 SV=2",COA4,6,43,87,10.128,6.04,16,0.993,0.972,1.000,1.019,1.026,0.809,0.861,0.714,0.659,0.527
Q9NYK5,"39S ribosomal protein L39, mitochondrial OS=Homo sapiens GN=MRPL39 PE=1 SV=3",MRPL39,13,28,338,38.687,7.65,12,0.993,0.944,0.906,0.810,0.571,0.338,0.182,0.111,0.088,0.056
Q9NYL2,Mitogen-activated protein kinase kinase kinase MLT OS=Homo sapiens GN=MLTK PE=1 SV=3,MLTK,1,2,800,91.098,7.87,1,0.993,1.068,0.968,0.889,0.482,0.148,0.041,-0.009,0.023,0.061
Q9NYL9,Tropomodulin-3 OS=Homo sapiens GN=TMOD3 PE=1 SV=1,TMOD3,19,69,352,39.57,5.19,21,0.993,0.964,0.870,0.639,0.420,0.279,0.182,0.144,0.105,0.100
Q9NYP3,Protein downstream neighbor of Son OS=Homo sapiens GN=DONSON PE=1 SV=2,DONSON,2,4,566,62.707,8.66,2,0.993,1.111,0.996,0.994,0.826,0.683,0.468,0.375,0.305,0.217
Q9NYP9,Protein Mis18-alpha OS=Homo sapiens GN=MIS18A PE=1 SV=1,MIS18A,6,12,233,25.846,5.2,6,0.993,0.999,0.987,0.802,0.647,0.417,0.147,0.074,0.050,0.065
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,UGGT1,39,94,1555,177.078,5.63,39,0.993,0.931,0.912,0.812,0.675,0.396,0.211,0.136,0.087,0.077
Q9NYV4,Cyclin-dependent kinase 12 OS=Homo sapiens GN=CDK12 PE=1 SV=2,CDK12,21,67,1490,164.054,9.44,24,0.993,1.000,0.957,0.889,0.758,0.547,0.319,0.195,0.131,0.086
Q9NYY8,FAST kinase domain-containing protein 2 OS=Homo sapiens GN=FASTKD2 PE=1 SV=1,FASTKD2,14,32,710,81.41,8.05,9,0.993,0.964,0.851,0.726,0.575,0.336,0.149,0.105,0.085,0.089
Q9NYZ3,G2 and S phase-expressed protein 1 OS=Homo sapiens GN=GTSE1 PE=1 SV=3,GTSE1,2,4,720,76.598,9.39,2,0.993,0.809,0.700,0.475,0.358,0.204,0.147,0.128,0.135,0.111
Q9NZ08,Isoform 2 of Endoplasmic reticulum aminopeptidase 1 OS=Homo sapiens GN=ERAP1,ERAP1,7,13,948,107.772,6.28,5,0.993,0.994,0.882,0.762,0.558,0.377,0.214,0.176,0.096,0.094
Q9NZ32,Actin-related protein 10 OS=Homo sapiens GN=ACTR10 PE=1 SV=1,ACTR10,7,14,417,46.277,7.37,6,0.993,0.873,1.128,1.021,0.921,0.578,0.505,0.422,0.301,0.200
Q9NZ45,CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens GN=CISD1 PE=1 SV=1,CISD1,3,6,108,12.191,9.09,3,0.993,1.087,1.013,0.854,0.718,0.643,0.468,0.346,0.280,0.245
Q9NZ52,ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens GN=GGA3 PE=1 SV=1,GGA3,2,4,723,78.267,5.58,2,0.993,0.937,0.891,0.729,0.527,0.308,0.151,0.072,0.047,0.047
Q9NZ63,Uncharacterized protein C9orf78 OS=Homo sapiens GN=C9orf78 PE=1 SV=1,C9orf78,28,188,289,33.667,6.74,69,0.993,1.009,0.980,0.941,0.847,0.679,0.661,0.587,0.489,0.407
Q9NZ72,Stathmin-3 OS=Homo sapiens GN=STMN3 PE=1 SV=3,STMN3,7,25,180,21.004,7.49,8,0.993,0.980,0.883,0.858,0.778,0.668,0.580,0.499,0.386,0.314
Q9NZB2,Isoform F of Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A,FAM120A,8,19,1146,125.192,9,8,0.993,0.917,0.878,0.797,0.574,0.339,0.141,0.101,0.057,0.045
Q9NZC9,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 OS=Homo sapiens GN=SMARCAL1 PE=1 SV=1,SMARCAL1,3,6,954,105.872,9.06,3,0.993,0.930,0.791,0.606,0.459,0.327,0.303,0.223,0.172,0.132
Q9NZD8,Maspardin OS=Homo sapiens GN=SPG21 PE=1 SV=1,SPG21,2,4,308,34.938,6.28,2,0.993,1.009,0.925,0.755,0.473,0.349,0.196,0.129,0.082,0.080
Q9NZI7,Upstream-binding protein 1 OS=Homo sapiens GN=UBP1 PE=2 SV=1,UBP1,2,4,540,60.453,6.35,2,0.993,0.978,0.942,0.568,0.484,0.230,0.192,0.088,0.106,0.093
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens GN=IGF2BP1 PE=1 SV=2,IGF2BP1,31,133,577,63.441,9.2,40,0.993,0.930,0.921,0.751,0.384,0.218,0.133,0.095,0.064,0.060
Q9NZJ0,Denticleless protein homolog OS=Homo sapiens GN=DTL PE=1 SV=3,DTL,6,12,730,79.417,8.87,6,0.993,0.936,0.823,0.632,0.368,0.184,0.039,0.025,0.019,0.031
Q9NZJ6,"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial OS=Homo sapiens GN=COQ3 PE=1 SV=3",COQ3,4,8,369,41.028,7.42,4,0.993,1.022,0.930,0.832,0.739,0.494,0.363,0.213,0.132,0.100
Q9NZL4,Hsp70-binding protein 1 OS=Homo sapiens GN=HSPBP1 PE=1 SV=1,HSPBP1,11,30,362,39.449,5.21,14,0.993,0.956,0.921,0.721,0.454,0.241,0.122,0.044,0.032,0.031
Q9NZL9,Methionine adenosyltransferase 2 subunit beta OS=Homo sapiens GN=MAT2B PE=1 SV=1,MAT2B,27,79,334,37.528,7.36,13,0.993,0.998,0.978,0.915,0.857,0.631,0.527,0.440,0.342,0.187
Q9NZM3,Intersectin-2 OS=Homo sapiens GN=ITSN2 PE=1 SV=3,ITSN2,2,4,1697,193.34,8.12,1,0.993,0.732,0.695,0.602,0.415,0.278,0.251,0.135,0.105,0.063
Q9NZN3,EH domain-containing protein 3 OS=Homo sapiens GN=EHD3 PE=1 SV=2,EHD3,7,33,535,60.849,6.57,4,0.993,1.031,0.978,0.920,0.733,0.408,0.268,0.181,0.164,0.122
Q9NZN4,EH domain-containing protein 2 OS=Homo sapiens GN=EHD2 PE=1 SV=2,EHD2,7,25,543,61.123,6.46,2,0.993,1.109,0.923,0.820,0.602,0.521,0.299,0.262,0.187,0.154
Q9NZN5,Rho guanine nucleotide exchange factor 12 OS=Homo sapiens GN=ARHGEF12 PE=1 SV=1,ARHGEF12,3,5,1544,173.125,5.74,3,0.993,0.978,0.841,0.471,0.217,0.082,0.044,0.024,0.024,0.057
Q9NZN8,CCR4-NOT transcription complex subunit 2 OS=Homo sapiens GN=CNOT2 PE=1 SV=1,CNOT2,10,22,540,59.7,7.66,10,0.993,0.980,0.918,0.767,0.495,0.292,0.174,0.105,0.083,0.056
Q9NZT2,Opioid growth factor receptor OS=Homo sapiens GN=OGFR PE=1 SV=3,OGFR,10,19,677,73.28,4.84,9,0.993,0.904,0.682,0.379,0.259,0.170,0.113,0.062,0.068,0.054
Q9NZW5,MAGUK p55 subfamily member 6 OS=Homo sapiens GN=MPP6 PE=1 SV=2,MPP6,8,17,540,61.079,6.18,3,0.993,1.049,0.883,0.800,0.728,0.486,0.279,0.139,0.126,0.090
Q9NZZ3,Charged multivesicular body protein 5 OS=Homo sapiens GN=CHMP5 PE=1 SV=1,CHMP5,4,16,219,24.555,4.83,8,0.993,1.164,0.960,0.913,0.824,0.676,0.610,0.499,0.424,0.370
Q9P000,COMM domain-containing protein 9 OS=Homo sapiens GN=COMMD9 PE=1 SV=2,COMMD9,3,8,198,21.805,5.88,4,0.993,1.009,0.976,0.777,0.632,0.455,0.231,0.131,0.108,0.129
Q9P013,Spliceosome-associated protein CWC15 homolog OS=Homo sapiens GN=CWC15 PE=1 SV=2,CWC15,9,26,229,26.608,5.71,8,0.993,1.023,0.919,0.883,0.875,0.688,0.755,0.670,0.608,0.526
Q9P015,"39S ribosomal protein L15, mitochondrial OS=Homo sapiens GN=MRPL15 PE=1 SV=1",MRPL15,5,14,296,33.399,10.01,7,0.993,0.844,0.819,0.686,0.449,0.212,0.119,0.073,0.058,0.048
Q9P016,Thymocyte nuclear protein 1 OS=Homo sapiens GN=THYN1 PE=1 SV=1,THYN1,13,46,225,25.681,9.25,20,0.993,0.959,0.914,0.838,0.586,0.281,0.133,0.095,0.088,0.072
