Accession,Description,GeneName,Peptides.MTX,PSMs.MTX,AAs.MTX,MW.kDA.MTX,pI.MTX,QuantifyingPSMs.MTX,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
Q9UHR6,Zinc finger HIT domain-containing protein 2 OS=Homo sapiens GN=ZNHIT2 PE=1 SV=1,ZNHIT2,1,2,403,42.857,5.99,1,0.996,1.012,0.756,0.474,0.310,0.177,0.110,0.081,0.075,0.064
Q9UHV7,Mediator of RNA polymerase II transcription subunit 13 OS=Homo sapiens GN=MED13 PE=1 SV=3,MED13,7,15,2174,239.144,5.64,6,0.996,1.013,1.023,0.904,0.607,0.281,0.152,0.094,0.081,0.084
Q9UHV9,Prefoldin subunit 2 OS=Homo sapiens GN=PFDN2 PE=1 SV=1,PFDN2,9,61,154,16.638,6.58,15,0.996,0.958,0.987,0.926,0.792,0.611,0.490,0.388,0.292,0.229
Q9UHW5,Isoform 2 of GPN-loop GTPase 3 OS=Homo sapiens GN=GPN3,GPN3,8,34,294,33.924,4.6,15,0.996,0.957,1.015,0.899,0.875,0.670,0.666,0.487,0.368,0.329
Q9UHX1,Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens GN=PUF60 PE=1 SV=1,PUF60,28,126,542,58.135,5.35,54,0.996,0.976,0.940,0.807,0.502,0.278,0.170,0.082,0.079,0.061
Q9UHY1,Nuclear receptor-binding protein OS=Homo sapiens GN=NRBP1 PE=1 SV=1,NRBP1,11,31,535,59.807,5.08,9,0.996,1.012,0.955,0.934,0.805,0.525,0.281,0.118,0.109,0.106
Q9UHY7,Enolase-phosphatase E1 OS=Homo sapiens GN=ENOPH1 PE=1 SV=1,ENOPH1,4,12,261,28.914,4.78,6,0.996,0.993,0.955,0.906,0.753,0.509,0.367,0.176,0.145,0.102
Q9UI08,Isoform 1 of Ena/VASP-like protein OS=Homo sapiens GN=EVL,EVL,2,12,418,44.764,8.84,5,0.996,0.933,1.007,0.877,0.467,0.264,0.143,0.057,0.121,0.066
Q9UI10,Isoform 2 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens GN=EIF2B4,EIF2B4,37,123,523,57.521,9.38,3,0.996,1.002,0.957,0.915,0.836,0.503,0.190,0.129,0.075,0.069
Q9UI12,V-type proton ATPase subunit H OS=Homo sapiens GN=ATP6V1H PE=1 SV=1,ATP6V1H,22,71,483,55.847,6.48,15,0.996,0.954,1.009,0.949,0.845,0.647,0.320,0.145,0.097,0.085
Q9UI26,Isoform 2 of Importin-11 OS=Homo sapiens GN=IPO11,IPO11,23,69,1015,116.932,5.41,28,0.996,1.005,0.996,0.894,0.723,0.463,0.282,0.163,0.126,0.103
Q9UI30,tRNA methyltransferase 112 homolog OS=Homo sapiens GN=TRMT112 PE=1 SV=1,TRMT112,4,40,125,14.19,5.26,8,0.996,1.007,0.930,0.944,0.799,0.655,0.485,0.365,0.268,0.246
Q9UI43,Putative ribosomal RNA methyltransferase 2 OS=Homo sapiens GN=FTSJ2 PE=1 SV=1,FTSJ2,1,2,246,27.406,9.5,1,0.996,0.921,0.800,0.811,0.476,0.179,0.027,0.001,0.016,0.044
Q9UIC8,Isoform 2 of Leucine carboxyl methyltransferase 1 OS=Homo sapiens GN=LCMT1,LCMT1,10,28,357,41.079,7.01,5,0.996,1.031,0.941,0.928,0.869,0.633,0.324,0.172,0.150,0.106
Q9UID3,Vacuolar protein sorting-associated protein 51 homolog OS=Homo sapiens GN=VPS51 PE=1 SV=2,VPS51,8,20,782,85.988,6.47,8,0.996,1.078,1.004,0.866,0.581,0.390,0.250,0.185,0.135,0.110
Q9UID6,Zinc finger protein 639 OS=Homo sapiens GN=ZNF639 PE=1 SV=1,ZNF639,1,2,485,56.018,5.57,1,0.996,0.850,0.721,0.467,0.280,0.203,0.118,0.075,0.066,0.080
Q9UII2,"ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1",ATPIF1,6,30,106,12.241,9.35,11,0.996,1.018,0.943,0.953,0.997,0.873,0.880,0.822,0.725,0.785
Q9UIJ7,"GTP:AMP phosphotransferase, mitochondrial OS=Homo sapiens GN=AK3 PE=1 SV=4",AK3,14,53,227,25.55,9.16,20,0.996,0.986,1.020,1.001,0.926,0.806,0.577,0.259,0.131,0.109
Q9UIM3,FK506-binding protein-like OS=Homo sapiens GN=FKBPL PE=1 SV=1,FKBPL,7,15,349,38.152,5.5,5,0.996,0.939,0.944,0.858,0.702,0.457,0.301,0.184,0.131,0.118
Q9UIV1,CCR4-NOT transcription complex subunit 7 OS=Homo sapiens GN=CNOT7 PE=1 SV=3,CNOT7,2,4,285,32.724,4.84,1,0.996,1.094,0.986,0.798,0.544,0.354,0.198,0.115,0.067,0.058
Q9UIW2,Plexin-A1 OS=Homo sapiens GN=PLXNA1 PE=1 SV=3,PLXNA1,4,8,1896,210.933,6.92,3,0.996,1.059,0.968,0.960,0.917,0.680,0.483,0.288,0.222,0.177
Q9UJ41,Rab5 GDP/GTP exchange factor OS=Homo sapiens GN=RABGEF1 PE=1 SV=2,RABGEF1,8,17,708,79.321,6.81,7,0.996,0.948,0.944,0.786,0.632,0.425,0.264,0.184,0.145,0.130
Q9UJ68,Mitochondrial peptide methionine sulfoxide reductase OS=Homo sapiens GN=MSRA PE=1 SV=1,MSRA,3,6,235,26.116,8.09,3,0.996,1.014,0.897,0.698,0.382,0.336,0.105,0.073,0.066,0.084
Q9UJ70,Isoform 2 of N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK,NAGK,11,26,390,42.011,6.68,10,0.996,1.086,1.002,0.985,0.903,0.775,0.568,0.343,0.161,0.140
Q9UJ83,2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens GN=HACL1 PE=1 SV=2,HACL1,9,16,578,63.687,7.36,5,0.996,0.993,0.853,0.861,0.805,0.635,0.559,0.453,0.304,0.140
Q9UJA5,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Homo sapiens GN=TRMT6 PE=1 SV=1,TRMT6,11,26,497,55.764,7.55,10,0.996,0.986,1.014,1.019,0.976,0.714,0.497,0.265,0.163,0.132
Q9UJC3,Protein Hook homolog 1 OS=Homo sapiens GN=HOOK1 PE=1 SV=2,HOOK1,2,4,728,84.595,5.15,2,0.996,0.955,0.921,0.669,0.576,0.358,0.246,0.160,0.138,0.129
Q9UJC5,SH3 domain-binding glutamic acid-rich-like protein 2 OS=Homo sapiens GN=SH3BGRL2 PE=1 SV=2,SH3BGRL2,4,12,107,12.318,6.71,4,0.996,0.932,0.912,0.941,0.814,0.561,0.367,0.166,0.111,0.093
Q9UJK0,Ribosome biogenesis protein TSR3 homolog OS=Homo sapiens GN=TSR3 PE=1 SV=1,TSR3,1,2,312,33.575,6.87,1,0.996,1.086,0.817,0.866,0.744,0.654,0.700,0.670,0.448,0.304
Q9UJQ7,SCP2 sterol-binding domain-containing protein 1 OS=Homo sapiens GN=SCP2D1 PE=2 SV=1,SCP2D1,2,3,156,17.651,9.33,3,0.996,1.060,0.970,0.920,0.889,0.824,0.665,0.594,0.412,0.254
Q9UJT0,Tubulin epsilon chain OS=Homo sapiens GN=TUBE1 PE=2 SV=1,TUBE1,1,2,475,52.898,6.64,1,0.996,1.229,0.894,1.109,0.861,1.020,0.771,0.421,0.318,0.274
Q9UJU6,Isoform 3 of Drebrin-like protein OS=Homo sapiens GN=DBNL,DBNL,19,105,439,49.012,5.05,45,0.996,0.915,0.945,0.811,0.520,0.310,0.220,0.163,0.131,0.115
Q9UJW0,Isoform 3 of Dynactin subunit 4 OS=Homo sapiens GN=DCTN4,DCTN4,7,26,467,53.118,7.39,11,0.996,0.996,0.968,0.927,0.742,0.545,0.403,0.343,0.247,0.185
Q9UJX2,Cell division cycle protein 23 homolog OS=Homo sapiens GN=CDC23 PE=1 SV=3,CDC23,13,40,597,68.79,7.02,15,0.996,0.997,0.889,0.857,0.653,0.455,0.195,0.133,0.095,0.090
Q9UJX3,Anaphase-promoting complex subunit 7 OS=Homo sapiens GN=ANAPC7 PE=1 SV=4,ANAPC7,24,82,599,66.813,5.64,27,0.996,0.987,0.906,0.844,0.666,0.441,0.269,0.189,0.110,0.125
Q9UJX4,Anaphase-promoting complex subunit 5 OS=Homo sapiens GN=ANAPC5 PE=1 SV=2,ANAPC5,14,34,755,85.023,6.87,11,0.996,0.963,0.920,0.875,0.712,0.474,0.254,0.197,0.149,0.157
Q9UJX6,Anaphase-promoting complex subunit 2 OS=Homo sapiens GN=ANAPC2 PE=1 SV=1,ANAPC2,12,24,822,93.769,5.22,10,0.996,0.972,0.933,0.855,0.688,0.504,0.259,0.181,0.106,0.082
Q9UJY4,ADP-ribosylation factor-binding protein GGA2 OS=Homo sapiens GN=GGA2 PE=1 SV=3,GGA2,1,2,613,67.108,6.55,1,0.996,1.050,1.160,0.631,0.514,0.496,0.255,0.198,0.124,0.121
Q9UJZ1,Stomatin-like protein 2 OS=Homo sapiens GN=STOML2 PE=1 SV=1,STOML2,5,16,356,38.51,7.39,8,0.996,1.063,0.947,0.838,0.705,0.624,0.522,0.517,0.436,0.515
Q9UK41,Isoform 2 of Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens GN=VPS28,VPS28,12,29,233,26.445,7.72,11,0.996,1.030,1.027,0.855,0.539,0.325,0.170,0.104,0.092,0.084
Q9UK45,U6 snRNA-associated Sm-like protein LSm7 OS=Homo sapiens GN=LSM7 PE=1 SV=1,LSM7,4,38,103,11.595,5.27,13,0.996,0.968,1.031,0.910,0.772,0.592,0.465,0.357,0.271,0.251
Q9UK59,Lariat debranching enzyme OS=Homo sapiens GN=DBR1 PE=1 SV=2,DBR1,16,52,544,61.516,5.47,11,0.996,1.103,1.004,0.920,0.800,0.672,0.457,0.317,0.196,0.143
Q9UK76,Isoform 2 of Hematological and neurological expressed 1 protein OS=Homo sapiens GN=HN1,HN1,7,34,181,19.904,8.32,6,0.996,1.018,0.725,1.073,1.076,0.933,0.865,0.678,0.491,0.442
Q9UK97,F-box only protein 9 OS=Homo sapiens GN=FBXO9 PE=1 SV=1,FBXO9,3,7,447,52.296,6.15,2,0.996,1.018,0.978,0.815,0.515,0.325,0.162,0.137,0.116,0.098
Q9UK99,F-box only protein 3 OS=Homo sapiens GN=FBXO3 PE=1 SV=3,FBXO3,6,12,471,54.525,5,4,0.996,1.030,1.087,0.877,0.743,0.578,0.324,0.195,0.144,0.111
Q9UKB3,DnaJ homolog subfamily C member 12 OS=Homo sapiens GN=DNAJC12 PE=1 SV=1,DNAJC12,1,6,198,23.4,5.71,3,0.996,0.925,0.984,1.027,0.897,0.644,0.598,0.466,0.356,0.247
Q9UKD1,Glucocorticoid modulatory element-binding protein 2 OS=Homo sapiens GN=GMEB2 PE=1 SV=1,GMEB2,5,10,530,56.386,5.6,5,0.996,1.013,0.908,0.749,0.584,0.445,0.265,0.186,0.156,0.135
Q9UKD2,mRNA turnover protein 4 homolog OS=Homo sapiens GN=MRTO4 PE=1 SV=2,MRTO4,9,35,239,27.543,8.29,10,0.996,0.936,0.879,0.561,0.417,0.360,0.185,0.100,0.089,0.082
Q9UKE5,TRAF2 and NCK-interacting protein kinase OS=Homo sapiens GN=TNIK PE=1 SV=1,TNIK,13,34,1360,154.848,7.17,8,0.996,0.963,1.027,0.945,0.834,0.525,0.384,0.172,0.144,0.111
Q9UKF6,Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens GN=CPSF3 PE=1 SV=1,CPSF3,19,54,684,77.436,5.6,17,0.996,1.007,0.923,0.697,0.504,0.366,0.207,0.149,0.118,0.085
Q9UKI8,Isoform 2 of Serine/threonine-protein kinase tousled-like 1 OS=Homo sapiens GN=TLK1,TLK1,10,26,787,88.968,8.72,3,0.996,1.068,0.992,0.893,0.737,0.499,0.201,0.137,0.122,0.126
Q9UKJ3,G patch domain-containing protein 8 OS=Homo sapiens GN=GPATCH8 PE=1 SV=2,GPATCH8,9,19,1502,164.098,8.66,5,0.996,0.941,0.945,0.855,0.660,0.513,0.413,0.379,0.245,0.133
Q9UKL3,CASP8-associated protein 2 OS=Homo sapiens GN=CASP8AP2 PE=1 SV=1,CASP8AP2,1,2,1982,222.52,6.58,1,0.996,0.962,0.993,0.886,0.813,0.743,0.622,0.411,0.456,0.293
Q9UKM9,RNA-binding protein Raly OS=Homo sapiens GN=RALY PE=1 SV=1,RALY,6,19,306,32.444,9.17,7,0.996,1.043,0.955,0.695,0.400,0.310,0.164,0.098,0.075,0.071
Q9UKN7,Unconventional myosin-XV OS=Homo sapiens GN=MYO15A PE=1 SV=2,MYO15A,1,2,3530,395.044,9.17,1,0.996,0.777,0.993,0.373,0.273,0.109,0.110,0.054,0.065,0.102
Q9UKN8,General transcription factor 3C polypeptide 4 OS=Homo sapiens GN=GTF3C4 PE=1 SV=2,GTF3C4,19,44,822,91.923,6.65,19,0.996,1.002,0.819,0.659,0.488,0.266,0.130,0.067,0.063,0.049
Q9UKT4,F-box only protein 5 OS=Homo sapiens GN=FBXO5 PE=1 SV=1,FBXO5,9,21,447,50.114,8.92,8,0.996,0.964,0.924,0.866,0.749,0.584,0.413,0.278,0.176,0.134
Q9UKT5,F-box only protein 4 OS=Homo sapiens GN=FBXO4 PE=1 SV=2,FBXO4,2,4,387,44.108,6.16,2,0.996,0.945,0.924,0.934,0.737,0.438,0.240,0.154,0.141,0.100
Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACAD8 PE=1 SV=1",ACAD8,8,18,415,45.04,7.85,6,0.996,1.019,1.022,0.964,0.968,0.792,0.586,0.297,0.224,0.199
Q9UKV8,Protein argonaute-2 OS=Homo sapiens GN=AGO2 PE=1 SV=3,AGO2,22,63,859,97.146,9.19,15,0.996,1.002,0.990,0.867,0.717,0.520,0.342,0.311,0.226,0.185
Q9UKX7,Nuclear pore complex protein Nup50 OS=Homo sapiens GN=NUP50 PE=1 SV=2,NUP50,24,68,468,50.113,7.06,31,0.996,0.969,1.010,0.998,1.026,0.801,0.522,0.312,0.205,0.165
Q9UKY7,Protein CDV3 homolog OS=Homo sapiens GN=CDV3 PE=1 SV=1,CDV3,16,118,258,27.318,6.4,43,0.996,0.965,0.965,0.973,0.934,0.752,0.786,0.667,0.581,0.601
Q9UKZ1,CCR4-NOT transcription complex subunit 11 OS=Homo sapiens GN=CNOT11 PE=1 SV=1,CNOT11,5,9,510,55.18,6.4,3,0.996,1.016,0.915,0.769,0.461,0.264,0.125,0.091,0.077,0.082
Q9UL15,Isoform 2 of BAG family molecular chaperone regulator 5 OS=Homo sapiens GN=BAG5,BAG5,5,10,488,55.992,6,4,0.996,1.025,0.896,0.752,0.506,0.281,0.169,0.109,0.085,0.084
Q9UL25,Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3,RAB21,8,22,225,24.332,7.94,10,0.996,0.950,0.999,0.927,0.957,0.757,0.652,0.372,0.226,0.119
Q9UL26,Ras-related protein Rab-22A OS=Homo sapiens GN=RAB22A PE=1 SV=2,RAB22A,2,7,194,21.841,8.15,1,0.996,1.042,0.986,0.891,0.675,0.591,0.387,0.195,0.162,0.104
Q9UL46,Proteasome activator complex subunit 2 OS=Homo sapiens GN=PSME2 PE=1 SV=4,PSME2,15,72,239,27.384,5.73,32,0.996,0.995,0.994,0.980,0.910,0.699,0.365,0.190,0.141,0.117
Q9UL63,Muskelin OS=Homo sapiens GN=MKLN1 PE=1 SV=2,MKLN1,11,33,735,84.713,6.34,11,0.996,0.972,0.945,0.855,0.762,0.536,0.316,0.222,0.185,0.152
Q9ULC3,Ras-related protein Rab-23 OS=Homo sapiens GN=RAB23 PE=1 SV=1,RAB23,8,17,237,26.643,6.6,7,0.996,1.015,0.972,0.944,0.857,0.655,0.424,0.216,0.124,0.102
Q9ULC4,Isoform 3 of Malignant T-cell-amplified sequence 1 OS=Homo sapiens GN=MCTS1,MCTS1,14,82,182,20.537,8.82,38,0.996,0.918,0.971,0.965,0.942,0.740,0.661,0.457,0.191,0.099
Q9ULF5,Zinc transporter ZIP10 OS=Homo sapiens GN=SLC39A10 PE=1 SV=2,SLC39A10,4,8,831,94.073,6.76,2,0.996,0.991,0.955,1.001,1.127,0.964,0.941,0.948,0.785,0.644
Q9ULH0,Kinase D-interacting substrate of 220 kDa OS=Homo sapiens GN=KIDINS220 PE=1 SV=3,KIDINS220,8,15,1771,196.419,6.62,6,0.996,1.050,0.999,0.879,0.828,0.642,0.479,0.399,0.232,0.131
Q9ULH1,"Isoform 1 of Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ASAP1",ASAP1,13,38,1132,125.82,7.52,16,0.996,1.022,0.991,0.862,0.586,0.352,0.206,0.156,0.113,0.104
Q9ULJ6,Zinc finger MIZ domain-containing protein 1 OS=Homo sapiens GN=ZMIZ1 PE=1 SV=3,ZMIZ1,3,6,1067,115.409,7.46,1,0.996,1.020,0.954,0.950,0.801,0.603,0.411,0.211,0.128,0.128
Q9ULM3,YEATS domain-containing protein 2 OS=Homo sapiens GN=YEATS2 PE=1 SV=2,YEATS2,1,2,1422,150.689,8.98,1,0.996,1.072,0.693,0.282,0.169,0.095,0.045,0.006,0.049,0.057
Q9ULP9,TBC1 domain family member 24 OS=Homo sapiens GN=TBC1D24 PE=1 SV=2,TBC1D24,6,20,559,62.879,7.36,10,0.996,1.059,0.988,0.955,0.798,0.545,0.271,0.141,0.107,0.087
Q9ULR0,Isoform 2 of Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens GN=ISY1,ISY1,4,16,331,37.543,5.78,8,0.996,1.025,0.703,0.617,0.585,0.564,0.545,0.485,0.395,0.330
Q9ULR3,Protein phosphatase 1H OS=Homo sapiens GN=PPM1H PE=1 SV=2,PPM1H,4,10,514,56.413,6.6,5,0.996,0.998,1.019,0.979,0.979,0.866,0.590,0.433,0.293,0.086
Q9ULR5,Polyadenylate-binding protein-interacting protein 2B OS=Homo sapiens GN=PAIP2B PE=1 SV=2,PAIP2B,1,4,123,14.228,4.17,2,0.996,1.023,1.052,1.020,0.726,0.344,0.121,0.049,0.035,0.040
Q9ULT8,E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens GN=HECTD1 PE=1 SV=3,HECTD1,6,15,2610,289.203,5.35,7,0.996,0.991,0.843,0.746,0.451,0.241,0.138,0.063,0.092,0.115
Q9ULU4,Isoform 13 of Protein kinase C-binding protein 1 OS=Homo sapiens GN=ZMYND8,ZMYND8,11,24,1188,131.498,6.65,8,0.996,0.979,0.886,0.674,0.426,0.310,0.210,0.110,0.096,0.081
Q9ULW0,Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2,TPX2,25,106,747,85.6,9.23,41,0.996,1.030,0.981,0.964,0.897,0.730,0.598,0.472,0.324,0.219
Q9ULX3,RNA-binding protein NOB1 OS=Homo sapiens GN=NOB1 PE=1 SV=1,NOB1,11,26,412,46.646,7.18,12,0.996,0.999,0.988,0.848,0.525,0.318,0.181,0.115,0.082,0.066
Q9ULX6,A-kinase anchor protein 8-like OS=Homo sapiens GN=AKAP8L PE=1 SV=3,AKAP8L,13,33,646,71.604,5.07,13,0.996,0.985,0.731,0.452,0.328,0.204,0.100,0.075,0.075,0.083
Q9ULZ3,Apoptosis-associated speck-like protein containing a CARD OS=Homo sapiens GN=PYCARD PE=1 SV=2,PYCARD,11,50,195,21.613,6.34,18,0.996,1.061,1.014,0.958,0.879,0.681,0.420,0.230,0.163,0.135
Q9UM11,Fizzy-related protein homolog OS=Homo sapiens GN=FZR1 PE=1 SV=2,FZR1,1,2,496,55.145,9.33,1,0.996,0.916,0.942,0.970,0.756,0.439,0.412,0.235,0.192,0.080
Q9UM13,Anaphase-promoting complex subunit 10 OS=Homo sapiens GN=ANAPC10 PE=1 SV=1,ANAPC10,7,16,185,21.239,9.06,8,0.996,0.996,0.900,0.800,0.693,0.447,0.219,0.125,0.086,0.084
Q9UMN6,Histone-lysine N-methyltransferase 2B OS=Homo sapiens GN=KMT2B PE=1 SV=1,KMT2B,2,4,2715,293.33,8.22,2,0.996,1.065,0.857,0.604,0.694,0.298,0.313,0.266,0.157,0.125
Q9UMS0,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial OS=Homo sapiens GN=NFU1 PE=1 SV=2",NFU1,9,26,254,28.444,5.07,9,0.996,0.947,0.963,0.978,0.874,0.671,0.567,0.357,0.225,0.181
Q9UMS4,Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1,PRPF19,20,155,504,55.146,6.61,61,0.996,0.970,1.005,1.011,1.062,0.841,0.763,0.457,0.179,0.111
Q9UMX0,Ubiquilin-1 OS=Homo sapiens GN=UBQLN1 PE=1 SV=2,UBQLN1,13,121,589,62.479,5.11,15,0.996,1.065,1.014,0.951,0.825,0.710,0.545,0.375,0.300,0.252
Q9UMX5,Neudesin OS=Homo sapiens GN=NENF PE=1 SV=1,NENF,8,21,172,18.845,5.69,10,0.996,0.927,1.005,0.970,1.036,0.848,0.825,0.716,0.617,0.625
Q9UMY1,Nucleolar protein 7 OS=Homo sapiens GN=NOL7 PE=1 SV=2,NOL7,3,9,257,29.409,9.67,3,0.996,0.981,1.063,1.071,1.267,1.041,1.155,0.903,0.578,0.343
Q9UMY4,Sorting nexin-12 OS=Homo sapiens GN=SNX12 PE=1 SV=3,SNX12,5,14,172,19.718,7.87,3,0.996,1.043,1.029,0.978,0.585,0.416,0.207,0.157,0.152,0.092
Q9UMZ2,Synergin gamma OS=Homo sapiens GN=SYNRG PE=1 SV=2,SYNRG,19,40,1314,140.566,5.03,14,0.996,1.028,0.928,0.822,0.688,0.489,0.315,0.204,0.143,0.107
Q9UN36,Protein NDRG2 OS=Homo sapiens GN=NDRG2 PE=1 SV=2,NDRG2,9,39,371,40.772,5.21,18,0.996,0.980,0.953,0.956,0.876,0.703,0.456,0.165,0.104,0.083
Q9UN37,Vacuolar protein sorting-associated protein 4A OS=Homo sapiens GN=VPS4A PE=1 SV=1,VPS4A,13,29,437,48.867,7.8,5,0.996,0.978,0.927,0.721,0.401,0.252,0.157,0.104,0.086,0.082
Q9UN86,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,G3BP2,26,114,482,54.088,5.55,16,0.996,1.040,1.003,0.926,0.664,0.424,0.231,0.134,0.084,0.080
Q9UNE7,E3 ubiquitin-protein ligase CHIP OS=Homo sapiens GN=STUB1 PE=1 SV=2,STUB1,17,48,303,34.834,5.87,16,0.996,0.925,0.715,0.410,0.302,0.216,0.143,0.101,0.092,0.085
Q9UNF0,Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens GN=PACSIN2 PE=1 SV=2,PACSIN2,24,85,486,55.704,5.2,32,0.996,0.995,0.963,0.887,0.464,0.315,0.187,0.138,0.098,0.111
Q9UNF1,Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2,MAGED2,17,46,606,64.914,9.32,19,0.996,1.054,0.788,0.552,0.408,0.263,0.166,0.112,0.096,0.073
Q9UNH7,Sorting nexin-6 OS=Homo sapiens GN=SNX6 PE=1 SV=1,SNX6,20,66,406,46.62,6.16,24,0.996,1.014,0.985,0.939,0.624,0.370,0.220,0.163,0.118,0.108
Q9UNI6,Dual specificity protein phosphatase 12 OS=Homo sapiens GN=DUSP12 PE=1 SV=1,DUSP12,6,12,340,37.663,6.84,5,0.996,0.962,0.954,0.767,0.607,0.369,0.267,0.151,0.090,0.078
Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens GN=PSMD13 PE=1 SV=2,PSMD13,26,172,376,42.918,5.81,67,0.996,0.987,0.985,0.895,0.756,0.519,0.355,0.151,0.074,0.056
Q9UNN5,FAS-associated factor 1 OS=Homo sapiens GN=FAF1 PE=1 SV=2,FAF1,19,75,650,73.908,4.88,28,0.996,0.994,0.971,0.966,0.852,0.627,0.458,0.212,0.133,0.125
Q9UNP9,Peptidyl-prolyl cis-trans isomerase E OS=Homo sapiens GN=PPIE PE=1 SV=1,PPIE,21,66,301,33.41,5.6,31,0.996,0.982,0.843,0.727,0.606,0.449,0.342,0.213,0.149,0.123
Q9UNQ2,Probable dimethyladenosine transferase OS=Homo sapiens GN=DIMT1 PE=1 SV=1,DIMT1,8,23,313,35.214,9.99,9,0.996,0.998,1.081,0.974,0.862,0.615,0.302,0.135,0.103,0.102
Q9UNS1,Protein timeless homolog OS=Homo sapiens GN=TIMELESS PE=1 SV=2,TIMELESS,9,17,1208,138.572,5.4,9,0.996,0.943,0.450,0.303,0.296,0.205,0.151,0.124,0.099,0.087
Q9UNS2,COP9 signalosome complex subunit 3 OS=Homo sapiens GN=COPS3 PE=1 SV=3,COPS3,19,149,423,47.842,6.65,52,0.996,0.984,1.014,0.997,0.977,0.744,0.608,0.269,0.343,0.300
Q9UNW1,Multiple inositol polyphosphate phosphatase 1 OS=Homo sapiens GN=MINPP1 PE=1 SV=1,MINPP1,7,14,487,55.016,7.81,3,0.996,0.936,0.924,0.928,0.972,0.800,0.590,0.435,0.317,0.214
Q9UNY4,Transcription termination factor 2 OS=Homo sapiens GN=TTF2 PE=1 SV=2,TTF2,28,74,1162,129.508,8.37,28,0.996,1.073,0.951,0.717,0.413,0.271,0.131,0.091,0.082,0.069
Q9UPM8,AP-4 complex subunit epsilon-1 OS=Homo sapiens GN=AP4E1 PE=1 SV=2,AP4E1,2,4,1137,127.206,5.99,2,0.996,0.959,0.908,0.643,0.449,0.206,0.100,0.037,0.050,0.045
Q9UPN4,5-azacytidine-induced protein 1 OS=Homo sapiens GN=AZI1 PE=1 SV=3,AZI1,5,10,1083,122.075,8.69,5,0.996,0.982,0.955,0.768,0.618,0.478,0.358,0.264,0.208,0.179
Q9UPN7,Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Homo sapiens GN=PPP6R1 PE=1 SV=5,PPP6R1,14,41,881,96.664,4.55,16,0.996,1.005,0.985,0.891,0.743,0.570,0.301,0.179,0.119,0.101
Q9UPN9,E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens GN=TRIM33 PE=1 SV=3,TRIM33,18,44,1127,122.456,6.67,17,0.996,0.988,0.854,0.603,0.463,0.295,0.208,0.133,0.109,0.094
Q9UPQ9,Trinucleotide repeat-containing gene 6B protein OS=Homo sapiens GN=TNRC6B PE=1 SV=4,TNRC6B,7,14,1833,193.883,6.76,7,0.996,0.976,0.889,0.857,0.765,0.582,0.473,0.413,0.283,0.173
Q9UPR0,Inactive phospholipase C-like protein 2 OS=Homo sapiens GN=PLCL2 PE=1 SV=2,PLCL2,2,4,1127,125.785,6.9,2,0.996,0.871,0.981,0.895,0.540,0.304,0.205,0.163,0.102,0.116
Q9UPT5,Exocyst complex component 7 OS=Homo sapiens GN=EXOC7 PE=1 SV=3,EXOC7,14,27,735,83.33,6.79,10,0.996,1.056,0.957,0.792,0.405,0.262,0.147,0.072,0.071,0.057
Q9UPT8,Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens GN=ZC3H4 PE=1 SV=3,ZC3H4,21,70,1303,140.169,6.27,31,0.996,0.989,0.909,0.899,0.806,0.667,0.514,0.425,0.282,0.197
Q9UPT9,Ubiquitin carboxyl-terminal hydrolase 22 OS=Homo sapiens GN=USP22 PE=1 SV=2,USP22,6,11,525,59.921,8.05,4,0.996,0.980,0.980,0.708,0.537,0.312,0.170,0.109,0.074,0.078
Q9UPU5,Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens GN=USP24 PE=1 SV=3,USP24,30,78,2620,294.178,6.14,28,0.996,1.024,0.962,0.873,0.655,0.487,0.288,0.160,0.120,0.111
